CMDLINE python3 WovtServer.py
MEM 4.804688 1514906658.1668
MEM 11.480469 1514906658.2945
MEM 14.921875 1514906658.4077
MEM 28.039062 1514906658.5120
MEM 30.230469 1514906658.6199
MEM 34.382812 1514906658.7346
MEM 36.097656 1514906658.8389
MEM 36.902344 1514906658.9483
MEM 37.613281 1514906659.0615
MEM 39.835938 1514906659.1668
MEM 42.718750 1514906659.2723
MEM 42.718750 1514906659.3765
MEM 42.718750 1514906659.4844
MEM 42.718750 1514906659.5950
MEM 42.718750 1514906659.6995
MEM 42.718750 1514906659.8043
MEM 42.718750 1514906659.9087
MEM 42.718750 1514906660.0165
MEM 42.718750 1514906660.1303
MEM 42.718750 1514906660.2499
MEM 42.718750 1514906660.3597
MEM 42.718750 1514906660.4691
MEM 42.718750 1514906660.5795
MEM 42.718750 1514906660.6841
MEM 42.718750 1514906660.7929
MEM 42.718750 1514906660.9052
MEM 42.718750 1514906661.0173
MEM 42.718750 1514906661.1446
MEM 42.718750 1514906661.2504
MEM 42.718750 1514906661.3617
MEM 42.718750 1514906661.4730
MEM 42.718750 1514906661.5789
MEM 42.718750 1514906661.6844
MEM 42.718750 1514906661.7959
MEM 42.718750 1514906661.9010
MEM 42.718750 1514906662.0091
MEM 42.718750 1514906662.1164
MEM 42.718750 1514906662.2346
MEM 42.718750 1514906662.3474
MEM 42.718750 1514906662.4563
MEM 42.718750 1514906662.5679
MEM 42.718750 1514906662.6723
MEM 42.718750 1514906662.7833
MEM 42.718750 1514906662.8919
MEM 42.718750 1514906662.9962
MEM 42.718750 1514906663.1035
MEM 42.718750 1514906663.2079
MEM 42.718750 1514906663.3123
MEM 42.718750 1514906663.4210
MEM 42.718750 1514906663.5348
MEM 42.718750 1514906663.6436
MEM 42.718750 1514906663.7545
MEM 42.718750 1514906663.8701
MEM 42.718750 1514906663.9740
MEM 42.718750 1514906664.0788
MEM 42.718750 1514906664.1892
MEM 42.718750 1514906664.2964
MEM 42.718750 1514906664.4029
MEM 42.941406 1514906664.5106
MEM 42.941406 1514906664.6159
MEM 42.941406 1514906664.7203
MEM 42.941406 1514906664.8251
MEM 42.941406 1514906664.9309
MEM 42.941406 1514906665.0398
MEM 42.941406 1514906665.1441
MEM 42.941406 1514906665.2524
MEM 42.941406 1514906665.3622
MEM 42.941406 1514906665.4665
MEM 42.941406 1514906665.5716
MEM 42.941406 1514906665.6935
MEM 42.941406 1514906665.8128
MEM 42.941406 1514906665.9272
MEM 42.941406 1514906666.0462
MEM 42.941406 1514906666.1520
MEM 42.941406 1514906666.2806
MEM 42.941406 1514906666.3874
MEM 42.941406 1514906666.4918
MEM 42.941406 1514906666.5966
MEM 42.941406 1514906666.7074
MEM 42.941406 1514906666.8118
MEM 42.941406 1514906666.9235
MEM 42.941406 1514906667.0329
MEM 42.941406 1514906667.1477
MEM 42.941406 1514906667.2524
MEM 42.941406 1514906667.3568
MEM 42.941406 1514906667.4675
