CMDLINE python3 WovtServer.py
MEM 43.628906 1514908708.6256
MEM 43.628906 1514908708.7365
MEM 43.628906 1514908708.8543
MEM 43.628906 1514908708.9719
MEM 43.628906 1514908709.0801
MEM 43.628906 1514908709.2058
MEM 43.628906 1514908709.3170
MEM 43.628906 1514908709.4269
MEM 43.628906 1514908709.5347
MEM 43.628906 1514908709.6474
MEM 43.628906 1514908709.7568
MEM 43.628906 1514908709.8700
MEM 43.628906 1514908709.9818
MEM 43.628906 1514908710.1122
MEM 43.628906 1514908710.2470
MEM 43.628906 1514908710.3725
MEM 43.628906 1514908710.5055
MEM 43.628906 1514908710.6351
MEM 43.628906 1514908710.7721
MEM 43.628906 1514908710.8844
MEM 43.628906 1514908710.9946
MEM 43.628906 1514908711.1025
MEM 43.628906 1514908711.2147
MEM 43.628906 1514908711.3259
MEM 43.628906 1514908711.4452
MEM 43.628906 1514908711.5609
MEM 43.628906 1514908711.6722
MEM 43.628906 1514908711.7860
MEM 43.628906 1514908711.9062
MEM 43.628906 1514908712.0199
MEM 43.628906 1514908712.1346
MEM 43.628906 1514908712.2469
MEM 43.628906 1514908712.3591
MEM 43.628906 1514908712.4694
MEM 43.628906 1514908712.5792
MEM 43.628906 1514908712.6902
MEM 43.628906 1514908712.8028
MEM 43.628906 1514908712.9156
MEM 43.628906 1514908713.0278
MEM 43.628906 1514908713.1391
MEM 43.628906 1514908713.2523
MEM 43.886719 1514908713.3702
MEM 43.886719 1514908713.4892
MEM 43.886719 1514908713.6041
MEM 43.886719 1514908713.7241
MEM 43.886719 1514908713.8365
MEM 43.886719 1514908713.9522
MEM 43.886719 1514908714.0669
MEM 43.886719 1514908714.1786
MEM 43.886719 1514908714.2879
MEM 43.886719 1514908714.3983
MEM 43.886719 1514908714.5100
MEM 43.886719 1514908714.6341
MEM 43.886719 1514908714.7450
MEM 43.886719 1514908714.8645
MEM 43.886719 1514908714.9779
MEM 43.886719 1514908715.0916
MEM 43.886719 1514908715.2014
MEM 43.886719 1514908715.3147
MEM 43.886719 1514908715.4264
MEM 43.886719 1514908715.5387
MEM 43.886719 1514908715.6485
MEM 43.886719 1514908715.7578
MEM 43.886719 1514908715.8766
MEM 43.886719 1514908716.0105
MEM 43.886719 1514908716.1564
MEM 43.886719 1514908716.2791
